programme_id,source_document,programme_name,pillar,problem_addressed,structural_cause,target_group,eligibility,delivery_mechanism,proposed_owner,supporting_agencies,phase,output,outcome,kpi_id,stated_cost_in_source,cost_status,duplication_assessment,missing_design_information,preliminary_feasibility,retain_decision
PRG-11,Both,Household Savings and Asset Accumulation Scheme,P3 Livelihoods,"Low-income households hold negligible financial buffers, so a single shock returns the household to crisis and no asset base accumulates","Income volatility and the absence of any matched-savings instrument reaching this population",Low-income Indian households with capacity to save,"Household income in the bottom 40%; enrolment in a qualifying savings product; matching capped per household per year","Matched savings, structured on the MIB 2017 design of a seed fund providing matching booster units in a qualifying unit-trust or savings product, with matching ratio varying by income band and a minimum lock-in",Ministry of Finance,"Permodalan Nasional Berhad (subject to its own commercial decision); Bank Negara Malaysia; AIM; Department of Social Welfare",1-2-3,"Approximately 15,000 participating households in Phase 1 rising to 50,000 by Phase 3; matched contributions credited; participation and balances reported annually",Increase in the proportion of participating households holding a defined minimum financial buffer,KPI-11,"RM500m; RM5,000 per household to 100,000 households (REJECTED as a mischaracterisation)",Provisional,"No existing matched-savings instrument reaches this population. Must be designed so it does not duplicate or displace existing SARA/STR cash transfers, which serve a different purpose",Product design; PNB's willingness to participate; the matching ratio schedule; MOF concurrence,"MODERATE. The instrument is genuinely provisional: it requires MOF design approval and PNB's commercial agreement. It is NOT a revival of a lapsed scheme - it is a new instrument modelled on an MIB design that was never implemented",RETAIN rebuilt
PRG-12,Both,Housing Access and Estate Legacy Resolution,P3 Livelihoods,"Families displaced from plantation estates occupy insecure tenure in urban peripheries, paying rent that builds no equity, with unresolved legacy land and compensation grievances","Estate closure without transition, tenure or asset settlement; allocation criteria in national housing programmes that do not recognise displacement history",Estate-displaced and low-income Indian households in housing insecurity,"Household income in the bottom 40%; documented estate-displacement history or current tenure insecurity; needs-based criteria applied without ethnic restriction","An estate-displacement legacy review producing an actionable administrative record; facilitated access to existing affordable-housing and rent-to-own programmes; deposit and transaction assistance; targeted site infrastructure",Ministry of Housing and Local Government,"State housing agencies; SJKP; Ministry of Plantation and Commodities; state land offices; Department of Social Welfare",1-2-3,"Legacy review completed and tabled; approximately 6,000 households assisted into affordable housing or rent-to-own over six years; revised allocation criteria adopted in participating states",Increase in secure tenure among assisted households,KPI-12,"5,000 placements; 10,000 cumulative",Provisional,"Housing units themselves are funded through existing national and state housing programmes. MIB 2.0 funds the legacy review, access facilitation, deposit assistance and targeted site works - not construction",Number of households in scope; state housing agency capacity and willingness; land status of legacy sites,"MODERATE-LOW. Depends heavily on state cooperation and on land matters within state jurisdiction. Deliberately the most conservatively scoped programme in the portfolio",RETAIN scoped
PRG-13,Both,Public Service Application Pipeline Programme,P4 Institutional Participation,"Indian representation in the federal civil service is 3.7% (2024) against a population share of approximately 6.5%","JPA states the binding constraint is very low application volume from non-Malay candidates, who nonetheless record the highest appointment success rates - i.e. the failure is at application, not selection",Qualified Indian graduates and school leavers eligible for public service entry,Meets standard JPA entry requirements; support is open and merit-based with no adjustment to entry standards,"Career awareness campaigns through schools, universities and community networks; application guidance and completion support; examination and interview preparation; mentoring by serving officers; publication of an annual grade-disaggregated composition series",Public Service Department (JPA),"Public Service Commission (SPA); Ministry of Higher Education; Ministry of Education; universities; professional associations",1-2-3,"Application volumes from Indian candidates published annually; preparation programmes delivered; annual grade-disaggregated composition series published",Indian share of the federal civil service rises from 3.7% (2024) toward a range of 4.2%-4.8% by Year 6,KPI-13,4.5% by Year 2; 7% by Year 6 (REJECTED as undeliverable),Benchmarked,"No existing targeted programme exists, which both source documents state and which is corroborated. Runs entirely within existing JPA recruitment processes",Current application volumes by ethnicity; the attrition point in the application funnel,"HIGH for the pipeline work, which is inexpensive. The TARGET, not the programme, was the defect: 7% by Year 6 would require approximately 43,000 net additional officers and is rejected",RETAIN with target reset
PRG-14,Doc B,Public Service Professional Advancement,P4 Institutional Participation,"Representation at entry does not translate into representation at senior grades",Career-long development and mobility opportunities are unevenly accessed,Serving Indian officers in the federal civil service,Serving officers; merit-based selection into development programmes,"Access to existing executive education, specialist training, cross-ministry exposure and structured mentoring, with participation monitored and published by grade band",Public Service Department (JPA),INTAN; ministries; Public Service Commission,2-3,Participation in development programmes published by grade band; mentoring pairings established,More even grade distribution over time,KPI-14,Not costed,Provisional,Uses existing INTAN and JPA development programmes; adds monitoring and outreach only,Current grade distribution by ethnicity - not published and a first deliverable,High. Very low cost; the deliverable is largely transparency,RETAIN
PRG-15,Both,Task Force and Delivery Secretariat,X Delivery,"No body owns cross-ministry outcomes for this agenda, publishes the numbers, or answers for them","Coordination units placed in line ministries lose convening power over other ministries; MITRA has programme funds but no authority over ministries that hold the levers",Whole-of-government delivery,n/a,"A Prime Minister-chaired Task Force meeting quarterly, supported by a delivery secretariat in the Prime Minister's Department, with each programme retaining its accountable ministry and accounting officer",Prime Minister's Department,All lead ministries; MITRA; Ministry of Finance; Implementation Coordination Unit,1-2-3,"Terms of reference approved; secretariat established; quarterly meetings held; dashboards published within 14 days of each meeting; annual report to Parliament",Programmes stay on schedule and off-track programmes are escalated and corrected within one quarter,KPI-15,Not costed,Benchmarked,"Does not replace MITRA, which continues as an executing agency. The Task Force coordinates and holds to account; it does not assume MITRA's financial authority",Terms of reference; secretariat establishment approval; the escalation protocol,"HIGH for establishment. The residual risk is that quarterly PM chairmanship is not sustained, which is the single largest delivery risk in the portfolio",RETAIN
PRG-16,Both,"Data, Evaluation and Public Reporting",X Delivery,"Neither government nor the community can currently verify what has changed, because baselines and disaggregated outturn data do not exist","Programmes report activity, not outcomes; ethnic disaggregation is inconsistently published","Programme monitoring and the public",n/a,"A baseline survey in Year 1, a public progress dashboard, a Data Protection Impact Assessment before any household record operates, an independent mid-term evaluation at end-Year 3, a final independent evaluation in Year 6, and annual Auditor-General audit",Prime Minister's Department,"DOSM; Ministry of Economy; National Audit Department; independent evaluators",1-2-3,"Baseline survey published; dashboard live; DPIA completed and published; mid-term and final evaluations published; annual audits tabled",Every KPI has a verified baseline and a published outturn series,KPI-16,Not costed,Benchmarked,"No duplication. This is the measurement layer both source drafts call for and neither costs",Survey design and DOSM collaboration; dashboard specification,High. Standard evaluation practice,RETAIN
PRG-R01,Doc A,"Revival of the RM500m / RM5,000-per-household interest-free loan scheme for 100,000 IB40 households",-,-,-,-,-,-,-,-,1,-,-,-,RM500 million,-,-,-,-,"REJECTED. The instrument it claims to revive never existed in the form described (CNF-007). Replaced by PRG-11, which reconstructs the MIB's actual matched-savings design"
PRG-R02,Doc A,PNB successor equity fund toward population proportionality,-,-,-,-,-,-,-,-,3,-,-,-,Not costed,-,-,-,-,"REJECTED. Rests on the unsupported 1.5bn AS1M claim (CNF-008). Cabinet cannot direct a corporate entity's unit allocations, and no verified predecessor allocation exists to restore"
PRG-R03,Doc A,Procurement set-asides and a 2% vendor participation quota for Indian SMEs,-,-,-,-,-,-,-,-,2,-,-,-,RM100m contract value,-,-,-,-,"REJECTED as designed. Serious Article 8 equality exposure for an ethnically-defined federal set-aside. Capability, certification and consortium elements are retained within PRG-10 with participation measured, not mandated"
PRG-R04,Doc A,Consolidated IB40 registry merging the documentation database with poverty targeting,-,-,-,-,-,-,-,-,3,-,-,-,Not costed,-,-,-,-,"REJECTED. Linking citizenship-status records to welfare eligibility creates discrimination and data-protection risk and would chill take-up among the target population (CNF-032). Replaced by two separate systems within PRG-01 and PRG-09"
PRG-R05,Doc A,Income-floor guarantee for IB40 households unable to work,-,-,-,-,-,-,-,-,3,-,-,-,Not costed,-,-,-,-,"REMOVED from MIB 2.0. A guaranteed minimum income floor for one ethnic group is a national social-protection policy question that exceeds this blueprint's scope and would require its own Cabinet consideration. Households unable to work are referred to existing national social assistance through PRG-09"
