claim_id,source_document,source_location,verbatim_or_close_claim,claim_type,population_scope,geography,reference_period,cited_source,verification_status,source_id,conflict_id,adopted_treatment,notes
CLM-011,Action Plan,S2.2.2 / S4.2.1,"MyDaftar (2011): 6,590 applications approved including 4,155 citizenships",baseline_statistic,MyDaftar applicants,Malaysia,2011,"MyDaftar, 2011",cited-source-not-yet-inspected,,CNF-013,Retain only as an illustrative precedent with the source qualified; do not use as a delivery-rate benchmark,Not located in any primary or official source during Stage 2 research. Must be attributed as reported or removed. See VAL-06.
CLM-012,Action Plan,S2.2.4 / S4.5.1 / S6.2.1,"MIB provided a RM500 million five-year interest-free loan scheme of RM5,000 per household for 100,000 IB40 households",institutional_claim,IB40 households,Malaysia,2017,"MIB, 2017",unsupported,SRC-001,CNF-007,REJECT the characterisation. Replace with the verified MIB instrument: a RM500 million PNB unit-trust SEED FUND providing matching booster units to IB40 savers,"MIB 2017 p.41: 'A RM500 mil PNB unit trust seed fund will be established to supplement the savings of B40 households'; p.112 repeats 'A RM500 mil seed fund ... to seed the savings of IB40 households ... in relevant PNB unit trust schemes'. There is NO interest-free loan, no RM5,000 per household and no 100,000-household figure anywhere in the MIB. Material mischaracterisation carried through three chapters of Doc A."
CLM-013,Action Plan,S2.2.4 / S6.2.1 / Appendix A,"1.5 billion additional AS1M units were allocated to the Indian community, up to 30,000 units per investor",institutional_claim,Indian investors,Malaysia,2017,"MIB, 2017",unsupported,SRC-001,CNF-008,REJECT and remove. Do not carry any AS1M unit figure into the proposal,"Reproducible search method: normalise the 172-page MIB 2017 extracted text to Unicode NFKC, collapse every run of whitespace to one ASCII space, and search case-insensitively. The normalised text contains 2 occurrences of AS1M, both incidental: p.111 lists AS1M among existing 11th Malaysia Plan unit trust schemes the Blueprint supports, and PDF p.148 is the glossary (printed folio 146). Normalised searches for '1.5 billion', '1.5 bil', '1,500 mil', '30,000 units' and 'billion units' return zero matches. The claim and the derived Phase 3 equity-lapsed narrative are unsupported."
CLM-014,Action Plan,S2.2.4 / S6.2.1,MIB target: at least 50% of registered poor households show increased savings within 10 years,institutional_claim,Registered poor Indian households,Malaysia,MIB horizon,"MIB, 2017",inconsistent,SRC-001,CNF-009,Correct the horizon to FIVE years,MIB 2017 p.33 and p.40 both state 'within 5 years of MIB implementation'. Doc A states 10 years in two places. Doc A is wrong.
CLM-015,Recalculated,Stage 2,MIB target: ensure the average monthly income of poor Indian households is double the then-current national PLI of RM950,institutional_claim,Poor Indian households,Malaysia,2017,"MIB, 2017",source-verified,SRC-001,,Note as historic; the PLI methodology changed in 2019 so the target is not directly comparable to the current PLI,MIB 2017 p.33 and p.40. Definitional incompatibility with the post-2019 PLI is material - see ASM-006.
CLM-016,Action Plan,S2.2.3 / S4.4.2 / Table 3,"528 SJKT educating 78,501 pupils (May 2026)",baseline_statistic,National-type Tamil primary schools,Malaysia,as at 31 May 2026,Bernama/theSun 2026,source-verified,SRC-008,CNF-006,"Adopt 528 schools and 78,501 pupils with the 31 May 2026 date, and disclose the 527 variant",theSun confirms 528 and 78501 as at 31 May 2026. The Star (16 Jun 2026) refers to all 527 Tamil schools. Immaterial to costing but must not be silently reconciled.
CLM-017,Action Plan,S2.2.3 / S4.4.2,Federal SJKT maintenance raised from RM30 million (2024) to RM50 million (2026),baseline_statistic,SJKT maintenance allocation,Malaysia,2024-2026,Bernama/theSun 2026,inconsistent,SRC-009,CNF-006,Adopt RM50 million for 2026 as verified; mark the prior-year base as disputed and state no growth multiple,Reports disagree on the base: one states an increase from RM30 million another from RM20 million. Doc A asserts RM30m without qualification.
CLM-018,Action Plan,Exec Summary / S1.3.1 / S8.1,RM220 million channelled through MITRA TEKUN and AIM in Budget 2026,budget_claim,Malaysian Indian community programmes,Malaysia,Budget 2026,"Bernama, 2026",unsupported,,CNF-010,Do not use RM220 million as the Phase 1 funding envelope. Use only the verified MITRA RM150 million (2026) and disclose the remainder as unverified,"Targeted search did not substantiate an RM220 million Indian-community line in Budget 2026; the RM220 million figure surfaced in relation to the Parliamentary institution. Verified components: MITRA RM150m (2026) and SPUMI RM50m (2026). Doc A builds its entire Phase 1 budget request on the RM220m figure - a material fiscal defect."
CLM-019,Action Plan,Exec Summary / S1.3.1 / S4.5.1,MITRA allocation raised to RM150 million (May 2026),budget_claim,MITRA,Malaysia,2026,"Bernama, 2026",source-verified,SRC-007,,Adopt,PM announced an additional RM50 million taking MITRA to RM150 million for 2026 (10 May 2026).
CLM-020,Action Plan,S1.3.1,"MITRA has absorbed approximately RM100m per year; RM98.9m spent in 2024 across 122,082 beneficiaries",budget_claim,MITRA,Malaysia,2023-2025,MITRA allocations,cited-source-not-yet-inspected,SRC-013,,"Use only the RM100m/year order of magnitude, which is corroborated; treat the RM98.9m and 122,082 outturn as unverified","MITRA media statements not retrieved at source. Beneficiary count 122,082 is a reach count not unique beneficiaries - see CNF-018."
CLM-021,Action Plan,Exec Summary / S1.3.1 / S3,PEMANDU found in 2024 that MITRA can only address 7 of 23 PTMI reforms,institutional_claim,MITRA and PTMI,Malaysia,2024,"PEMANDU, 2024",cited-source-not-yet-inspected,SRC-011,CNF-011,"Retain ONLY if attributed to the secondary source, phrased as reported, and never as a published PEMANDU finding","PEMANDU's own published page confirms the MITRA Hala Tuju engagement but does not publish this finding. The figure is traceable only to a secondary academic paper (SRC-012). Doc A cites it as (PEMANDU, 2024) four times including in the executive summary. Attribution is not sustainable as written."
CLM-022,Action Plan,S1.3.1 / S2.1.1 / S3.4.1 / S4.5.1,MACC arrested 16 MITRA-linked directors in 2021 over misappropriated grants,institutional_claim,MITRA grant recipients,Malaysia,2021,"MACC, 2021",cited-source-not-yet-inspected,,CNF-012,"Retain only in a governance-lessons context, attributed as reported, with no assertion of guilt; arrest is not conviction",Not verified at source in this exercise. Presumption of innocence and defamation exposure make the current phrasing unsafe for a Cabinet document. See VAL-07.
CLM-023,Action Plan,S2.2.3 / S4.4.1 / Table 3,"Standing 3.72% Indian sub-quota of the 10% non-Bumiputera matriculation allocation yields roughly 1,116 seats per year",institutional_claim,Matriculation intake,Malaysia,2024-2025,MOE / Harapan Daily Aug 2025,unsupported,,CNF-014,Do not state a 3.72% sub-quota as an official instrument. State only the verified 90:10 framework and the disputed Indian seat count,"No official source establishes a gazetted 3.72% Indian sub-quota. Search corroborates only that the 90:10 framework is unchanged and that an NGO (Agamam Ani Malaysia) asserts 1,116 Indian seats. An advocacy assertion is not an administrative instrument."
CLM-024,Action Plan,S2.2.3 / S4.4.1 / Table 3,"1,537 Indian students were offered matriculation places in 2025",baseline_statistic,Indian matriculation offers,Malaysia,2025,MOE / Harapan Daily Aug 2025,cited-source-not-yet-inspected,,CNF-014,Mark unverified; do not use as the baseline for a >=2000 offers target without MOE confirmation,"Conflicts with the NGO-asserted 1,116 seats for the same period. Two irreconcilable numbers for the same quantity; neither traced to MOE at source. See VAL-05."
CLM-025,Action Plan,Exec Summary / S2.2.3 / S4.4.1,"In April 2026 all 6,717 SPM 10A scorers were offered matriculation places for 2026/27",institutional_claim,All SPM 2025 candidates with 10A or better across ALL ethnicities,Malaysia,April 2026,MOE April 2026,source-verified,SRC-010,CNF-015,"Adopt, but state explicitly that 6,717 is an all-races national figure","The Star and FMT (8 April 2026) confirm 6,717 and confirm the offer is made without regard to race. Doc A places the figure inside Indian-specific passages, inviting the reader to infer it is an Indian count. Must be corrected."
CLM-026,Action Plan,Exec Summary / S1.3.1 / S4.5.1,Entrepreneur financing package of roughly RM300 million deployed in early 2025 comprising MITRA RM100m plus TEKUN SPUMI RM100m plus Bank Rakyat BRIEF-i RM100m,budget_claim,Indian entrepreneurs,Malaysia,2025,Ramanan / Bernama 2025,cited-source-not-yet-inspected,,CNF-016,Do not treat as a recurring baseline. Describe as a reported one-off package and exclude from the MIB 2.0 funding baseline,Partially inconsistent with the verified 2026 position: SPUMI's 2026 dedicated allocation is reported as RM50 million and described as the highest ever which is difficult to reconcile with a RM100 million SPUMI component in 2025.
CLM-027,Action Plan,Exec Summary / S4.5.1,RM50 million via AIM PENN scheme for Indian women,budget_claim,Indian women entrepreneurs,Malaysia,2024-2026,AIM 2024,source-verified,,,"Adopt as an existing financing rail, not as MIB 2.0 new funding","Corroborated: PENN under AIM, RM50 million envelope, with RM27.78 million approved to 2,992 Sahabat AIM entrepreneurs - the headline is an envelope, the outturn roughly half."
CLM-028,Action Plan,S5.5.1 / Table 4,"PRR Harmoni Madani Bestari Jaya (Feb 2025) resolved a 27-year estate workers housing case with subsidised units at RM45,000",institutional_claim,Estate-displaced households,Selangor,2025,PRR Bestari Jaya Feb 2025,cited-source-not-yet-inspected,,,"Retain as an illustrative precedent attributed as reported, and do not generalise a national unit cost from it","A single project cannot establish a national unit cost. Doc A's Phase 2 target of 5,000 placements is not derived from it."
CLM-029,Action Plan,S5.5.1 / Table 3,SJKP housing-credit guarantee raised from RM0.2 billion to RM1.9 billion in Budget 2026,budget_claim,Housing credit guarantee scheme,Malaysia,Budget 2026,Bernama / Budget 2026,cited-source-not-yet-inspected,,,Do not attribute to the Indian community. A guarantee ceiling is not expenditure and is not community-specific,Two category errors in Doc A: presenting a national guarantee ceiling as Indian-community support and presenting a contingent liability as funding.
CLM-030,Action Plan,S4.4.2 / Table 4,Budget 2026 funds the rebuild of SJKT Ladang Jeram within a roughly RM2 billion programme for 520 dilapidated schools including Tamil schools,budget_claim,Dilapidated schools nationally,Malaysia,Budget 2026,Bernama / Budget 2026,cited-source-not-yet-inspected,,CNF-017,Treat the RM2 billion as an existing NATIONAL programme; MIB 2.0 may claim only the SJKT share which must be established with MOE,Doc A repeatedly cites the RM2bn national figure adjacent to SJKT claims. The SJKT share is unknown. Attributing it to the community would materially overstate existing funding.
CLM-031,Action Plan,S1.3.1 / S2.1.1,MITRA was moved to the National Unity Ministry in April 2020 and has since been returned to the Prime Minister's Department,institutional_claim,MITRA,Malaysia,2020-2026,"MIB 2017; PEMANDU 2024",cited-source-not-yet-inspected,SRC-013,,Retain the substance of institutional relocation without asserting exact dates unless confirmed,Machinery-of-government changes should be confirmed against gazette or ministry records before a Cabinet submission - VAL-08.
CLM-032,Action Plan,S1.2.1 / S1.2.2 / S8.2,Approximately 12 months remain in the current parliamentary term and the plan requests a 5-year mandate,policy_assumption,Parliamentary term,Malaysia,2026-2027,none cited,rejected,,CNF-019,REMOVE ENTIRELY. Electoral-cycle sequencing has no place in a Cabinet submission,Two defects: the electoral framing breaches the non-partisan standard required of a Cabinet paper and invites the objection that the plan is an election instrument; and it is internally inconsistent because a 5-year mandate cannot deliver a six-year three-phase plan. Doc A states both.
CLM-033,Action Plan,S1.2.2 / S4 / S5 / S6,Three two-year phases across a six-year horizon,policy_assumption,Programme architecture,Malaysia,Years 1-6,Doc A,source-verified,SRC-016,CNF-020,Adopt. This resolves the internal contradiction in Doc B,"Doc B's executive summary uses two phases (Years 1-2 and 3-6); Doc B Chapter 10 uses three phases (1-2, 3-4, 5-6). Doc B contradicts itself. Doc A's three two-year phases are adopted and match the locked brief."
CLM-034,Action Plan,S4.2.1,100% of the residual backlog from the MIB 25000-case target resolved by end-Year 2,target,Undocumented or stateless persons of Indian origin,Malaysia,Years 1-2,plan's own KPI,rejected,,CNF-005,REJECT as undeliverable. Replace with a resolution-rate and processing-time target against a first-established verified caseload,"A 100% clearance target is set against a denominator that does not exist: no published residual caseload, and the original 25,000 was itself an estimate. Citizenship decisions are a Ministerial discretion under the Federal Constitution and cannot be committed to a clearance percentage by an executive task force - a legality defect."
CLM-035,Action Plan,S4.3.1 / Table 3,Indian civil service share to reach at least 4.5% by end-Year 2 and 7.0% by Year 6,target,Federal civil service,Malaysia,Years 1-6,plan's own KPI,requires-recalculation,SRC-005,CNF-021,Recalculate as a flow requirement and restate as a conservative range; do not carry 7.0% by Year 6,"Recalculation at Stage 2 (ASM-020) shows the implied net additional Indian officers to move 3.7% to 7.0% on a 1.3 million base is approximately 43,000, which is not achievable within six years on any credible attrition and intake assumption."
CLM-036,Action Plan,S4.5.1 / Table 3,At least 100000 IB40 households reached by revived micro-credit with zero leakage findings on audit,target,IB40 households,Malaysia,Years 1-2,plan's own KPI,rejected,,CNF-007,REJECT. Derived from the unsupported CLM-012 loan-scheme characterisation and zero leakage findings is not an auditable target,No lending instrument of this design exists. Zero leakage findings on audit cannot be committed to in advance by the auditee.
CLM-037,Action Plan,S5.2.1 / Table 3,"Enrol 90% of IB40 children aged 4-6 in registered preschools by end-Year 4; at least 40,000 subsidised places",target,Indian children aged 4-6 in low-income households,Malaysia,Years 3-4,plan's own KPI,requires-recalculation,,CNF-022,"Recalculate the eligible population from cohort size not from the household count, and restate as a participation range","Doc A derives 40,000 places by scaling from the 227,600-household denominator, which is not a child-cohort denominator. Stage 2 recalculation (ASM-008) puts the low-income Indian 4-5 cohort at approximately 15,000-17,000 children, so 40,000 subsidised places exceeds the eligible cohort."
CLM-038,Action Plan,S5.3.1 / Table 3,"15,000 Indian youth enrolled in certified TVET/STEM by end-Year 4; 30,000 cumulative by Year 6; at least 85% completion; at least 70% employed above RM2,672/month",target,Indian SPM leavers not proceeding to tertiary education,Malaysia,Years 3-6,plan's own KPI,requires-recalculation,,CNF-023,"Retain the volumes as a phased range; REPLACE the RM2,672 employment threshold which is a 2014 B40 mean and is not a valid 2026 wage floor",Employment-outcome thresholds must be indexed to a current wage reference such as the national minimum wage or DOSM median salary rather than a 2014 statistic.
CLM-039,Action Plan,S5.4.1 / Table 3,"Minimum 2% vendor participation share for Indian-registered SMEs in designated federal megaproject packages and RM100 million cumulative contract value by end-Year 4",target,Indian-registered SMEs,Malaysia,Years 3-4,plan's own KPI,rejected,SRC-014,CNF-024,"REJECT the ethnic set-aside and participation quota. Replace with a capability, certification and consortium-formation programme with participation MEASURED but not mandated",An ethnically-defined federal procurement set-aside for a non-Article-153 community carries serious Article 8 equality risk and would require AGC clearance and probable amendment of Treasury procurement instructions. The benchmark logic is also unsound: Doc A benchmarks a contract-value target to one year of the MITRA grant budget - two unrelated quantities.
CLM-040,Action Plan,S6.3.1 / Table 3,Zero IB40 households in extreme urban poverty by end of Year 6,target,IB40 households,Malaysia,Year 6,plan's own KPI,rejected,SRC-003,CNF-025,REJECT as an absolute commitment. Replace with a measurable reduction target against a DOSM-defined poverty measure,"Extreme urban poverty is not a DOSM-defined measure and there is no baseline count, so the target is unmeasurable. Committing a government to a zero-poverty outcome for one ethnic group within six years is not defensible, and Doc A's own denominator (227,600) is a 2014 B40 count not a poverty count."
CLM-041,Action Plan,S6.2.1 / Table 3,PNB successor fund sized toward population proportionality with at least 3bn cumulative units,target,Indian investors,Malaysia,Years 5-6,plan's own KPI,rejected,SRC-001,CNF-008,REJECT. Derived from the unsupported CLM-013 AS1M claim,"No verified predecessor allocation exists, so restoring or doubling it is not a coherent target. PNB is a corporate entity; Cabinet cannot direct its unit allocations by decision."
CLM-042,Action Plan,S3.1.1,The Task Force will be the LEGAL SUCCESSOR to the MIB agenda and the apex body over MITRA and PTMI,institutional_claim,Governance,Malaysia,Years 1-6,Doc A,rejected,SRC-014,CNF-026,REJECT the term legal successor. Replace with a Cabinet-established coordinating and accountability body with defined terms of reference,Legal successor implies a statutory transfer of functions that a Cabinet decision alone cannot effect. MITRA is an administrative unit with its own accounting officer; an apex body cannot lawfully assume its financial authority without machinery-of-government instruments.
CLM-043,Doc B,Tab 9,Each participating household should have access to a designated Progression Navigator,programme_design,Participating households,Malaysia,Years 1-6,Doc B,derived-estimate,SRC-015,CNF-027,"Adopt but cap the caseload to a costed and staffed volume; each participating family is only affordable if participation is defined","Doc B assigns no volume, cost, staffing ratio or owner. The model provides 150 households per navigator and concurrent capacity for approximately 60,000 households in Phase 3 - not all Indian households. Cumulative reach is not specified."
CLM-044,Doc B,Tab 4 section H,"National audit of Hindu temples and Tamil community assets covering land tenure, heritage, compliance and safety",programme_design,Temples and community assets,Malaysia,Years 1-2,Doc B,derived-estimate,SRC-015,CNF-028,"Adopt only after two redesigns: narrow federal support to safety, accessibility, compliance and documented public-interest community-service spaces; broaden access through a religion-neutral multi-faith programme while retaining a differentiated temple and estate-legacy state-referral pathway","Land, local government and religious administration engage differentiated state powers and require state and institution-specific consent. A federally-run audit cannot adjudicate temple tenure. Doc B also equates Indian community institutions with Hindu temples; the adopted design expressly includes Muslim, Christian, Sikh, Baha'i and other eligible institutions without fixed allocations by religion."
CLM-045,Doc B,Tab 1 / Tab 3,Three guarantees: no Indian-born child stuck at the starting line; no Indian youth stuck after school; no Indian family trapped in low-income instability,policy_assumption,Malaysian Indians,Malaysia,Years 1-6,Doc B,recommendation,SRC-015,CNF-029,"Adopt the three-guarantee framing as the public-facing narrative spine, restated as needs-based commitments with measurable definitions",As drafted the guarantees are absolute and unqualified which is not tenable in a Cabinet paper. Doc B itself concedes at Tab 6 that these are guarantees that Government will ensure a visible pathway exists - that qualification must be brought forward into the commitment language.
CLM-046,Doc B,Tab 1 / Tab 10,"Phase structure: Phase One Years 1-2 and Phase Two Years 3-6 at Tab 1, versus three phases 1-2, 3-4, 5-6 at Tab 10",policy_assumption,Programme architecture,Malaysia,Years 1-6,Doc B,inconsistent,SRC-015,CNF-020,Resolve to three two-year phases,Internal contradiction within Doc B; resolved in favour of the three-phase structure that Doc B's own roadmap chapter uses.
CLM-047,Doc B,Tabs 7 and 8,"Political messaging, signature statements, voter persuasion logic and speech drafting for the Prime Minister",illustrative_narrative,Political communication,Malaysia,n/a,Doc B,rejected,SRC-015,CNF-030,"EXCLUDE ENTIRELY from the Cabinet proposal. Approximately 4,900 words of Doc B - about one third - is campaign messaging","A submission to Cabinet seeking preliminary approval must not contain electoral persuasion material, drafted speeches for the PM, or voter persuasion logic. Retained only as a note that a communications plan will be prepared separately under normal government protocols."
CLM-048,Both,Doc A S1.3.1 / Doc B Tab 2,The core failure is an implementation and coordination gap rather than an absence of policy design or funding,causal_claim,Malaysian Indian programmes,Malaysia,2017-2026,"MIB 2017; PEMANDU 2024; Doc B",source-supported-inference,"SRC-001;SRC-011;SRC-015",,"Adopt as the central diagnosis, supported by convergent evidence and explicitly labelled an inference","Both source documents independently reach this conclusion and it is consistent with the verified facts that MITRA funding rose while the 7% civil service target went unmet. It remains an inference: no published programme evaluation establishes causation."
CLM-049,Recalculated,Stage 2,"Total federal civil service headcount 1,302,429 as at 31 Dec 2024 excluding RMP and MAF",baseline_statistic,Federal civil service,Malaysia,31 Dec 2024,JPA HRMIS via BERNAMA,source-verified,SRC-005,,Adopt as the denominator for all civil service calculations,Used in the ASM-020 recalculation of the feasibility of the 7% target.
CLM-050,Recalculated,Stage 2,"Indian officers in the civil service at 3.7% of 1,302,429 equals approximately 48,190 officers",derived-estimate,Federal civil service,Malaysia,31 Dec 2024,Calculated from SRC-005,derived-estimate,SRC-005,,Adopt as a calculated estimate,"1,302,429 x 0.037 = 48,189.9. Rounded to 48,200 in the proposal."
CLM-051,Recalculated,Stage 2,"Reaching 7.0% on a constant 1,302,429 base requires approximately 91,170 Indian officers, i.e. approximately 43,000 net additional officers",derived-estimate,Federal civil service,Malaysia,Years 1-6,Calculated from SRC-005,derived-estimate,SRC-005,CNF-021,Adopt as the basis for rejecting the 7%-by-Year-6 target,"1,302,429 x 0.07 = 91,170. 91,170 - 48,190 = 42,980. Over six years this requires roughly 7,160 net additional Indian officers per year against total civil service intake constraints. Not credible."
CLM-052,Recalculated,Stage 2,"A defensible six-year civil service trajectory is 3.7% to a range of 4.2%-4.8%, requiring approximately 6,500-14,300 net additional Indian officers",derived-estimate,Federal civil service,Malaysia,Years 1-6,Calculated from SRC-005,derived-estimate,SRC-005,CNF-021,Adopt as the MIB 2.0 target range in place of 7%,"4.2%: 1,302,429 x 0.042 = 54,702 less 48,190 = 6,512. 4.8%: 62,517 less 48,190 = 14,327. Expressed as a range because the denominator will itself change over six years - see ASM-021."
CLM-053,Recalculated,Stage 2,"Indian children aged 4-5 in low-income households estimated at approximately 15,000-17,000",derived-estimate,Indian children aged 4-5 in the bottom 40% by income,Malaysia,2026,Derived,derived-estimate,"SRC-004;SRC-001",CNF-022,"Adopt the midpoint 16,000 as the central planning population",Derivation at ASM-008. Provisional pending a DOSM/MOE cohort extract - VAL-09.
CLM-054,Recalculated,Stage 2,"MIB 2.0 indicative central six-year planning scenario RM1,484.273 million in 2026 prices; conservative RM1,158.487 million; expanded RM1,875.220 million; modelled incremental new funding requirement RM847.677 million (central)",calculated_estimate,MIB 2.0 programme portfolio,Malaysia,Years 1-6,COSTING_MODEL.csv,derived-estimate,,,"Adopt as an indicative planning scenario for conditional endorsement, labelled by confidence class and price basis; do not present as an approved envelope",Computed by outputs/build_costing.py from COSTING_ASSUMPTIONS.csv and machine-reconciled by outputs/verify_outputs.py. No cost line is classed Confirmed; the portfolio is Benchmarked and Provisional only.
CLM-055,Action Plan,Exec Summary,Statelessness clearances remain case-by-case with no published aggregate,institutional_claim,Documentation caseload,Malaysia,2022-2026,"Anwar May 2024; The Star Jul 2026",source-supported-inference,SRC-006,,"Adopt, phrased as an absence of published aggregate data rather than an absence of action","The absence of a published aggregate is itself the verifiable claim, and is the justification for PRG-01's first deliverable, a verified caseload baseline."
CLM-056,Action Plan,S2.1,MIB launched 23 April 2017 by then Prime Minister Najib Razak and organised around four pillars,institutional_claim,MIB,Malaysia,2017,"MIB, 2017",source-verified,SRC-001,,Adopt,Four thrusts confirmed: fundamental necessities; realising each child's potential; improving livelihoods and wealth; increasing social inclusion.
CLM-057,Action Plan,S2.1.1,MIB phasing was 2017-2018 consolidation; 2019-2021 first half; 2022-2026 second half; 2027-2030 mainstreaming,institutional_claim,MIB,Malaysia,2017-2030,"MIB, 2017",source-verified,SRC-001,,"Adopt. Material because it shows the MIB horizon runs to 2030, not 2026","MIB 2017 PDF p.147 (printed folio 145). Doc A's assertion that the MIB window expired in 2026 is true only of the 10-year civil service target, not of the Blueprint."
CLM-058,Doc B,Tab 4 section A,"Priority for children, students, elderly, persons with disabilities, widows, single-parent households and hardship cases in documentation",programme_design,Documentation applicants,Malaysia,Years 1-2,Doc B,recommendation,SRC-015,,Adopt as the eligibility-prioritisation rule for PRG-01,Doc B supplies the heterogeneity that Doc A's aggregate framing lacks and directly serves the heterogeneity requirement.
CLM-059,Doc B,Tab 8,Women frequently make the most important decisions affecting education household finances and children's wellbeing,causal_claim,Women in Indian households,Malaysia,n/a,Doc B,unsupported,SRC-015,,Qualify heavily or remove. Retain only the operational point that AIM PENN uptake data warrant gender-disaggregated targeting,Stated as fact with no evidence. Reframed as a targeting rationale grounded in the verified AIM PENN participation data at CLM-027.
CLM-060,Action Plan,S1.3.2 / S8.2,The community does not need a new blueprint; it needs an execution engine,recommendation,Policy architecture,Malaysia,2026,Doc A,recommendation,SRC-016,CNF-031,"Adopt the substance but not the framing. The proposition becomes complete the unfinished agenda through a delivery instrument, not no new blueprint","Direct tension with the locked brief, which requires adoption in principle of MIB 2.0 as a national blueprint. Resolved in favour of the brief."
CLM-061,Action Plan,Table 3,Documentation registry integrated as IB40 master database by Year 6,programme_design,Documentation and poverty registries,Malaysia,Year 6,Doc A,rejected,,CNF-032,REJECT. Merging a citizenship-status registry with a poverty-targeting registry creates a serious data-protection and discrimination risk,"Section 3(1) of the Personal Data Protection Act 2010 EXCLUDES the Federal and State Governments from the Act entirely, which increases rather than reduces the governance obligation. Linking immigration status to welfare eligibility records risks chilling take-up by the exact population the programme targets."
