conflict_id,item,action_plan_position,mib_v2_position,conflict_type,materiality,evidence_needed,resolution_method,status,adopted_resolution
CNF-011,Attribution of the '7 of 23 PTMI reforms' finding,"Cited four times as '(PEMANDU, 2024)' including in the executive summary",Not cited,citation_attribution_error,major,The PEMANDU MITRA report itself,Inspect PEMANDU's published output,resolved,"PEMANDU's published page confirms the engagement but not the finding; the figure is traceable only to a secondary academic paper. Retained once, in a footnote, attributed to the secondary source and phrased as reported. It is not used to carry any argumentative weight."
CNF-012,MACC 2021 arrests,Asserted as fact four times and used to justify safeguards,Not mentioned,legal_risk_and_unverified_claim,major,MACC records or court outcomes,Verify; if unverified state as reported and never imply guilt,resolved,"Retained once, in the governance-safeguards section, as a reported enforcement action with no assertion of guilt and no naming. Safeguards are justified on standing public-financial-management grounds rather than on the incident. Verification is item VAL-07."
CNF-013,MyDaftar outcome figures,"6,590 approvals and 4,155 citizenships, used as proof the backlog is soluble",Not mentioned,unverified_precedent,moderate,National Registration Department records,Verify; otherwise qualify,resolved,Retained as a reported precedent with attribution qualified. It is not used to derive any throughput target for PRG-01. Verification is item VAL-06.
CNF-014,Matriculation sub-quota and Indian seat count,"A standing 3.72% sub-quota yielding ~1,116 seats; 1,537 Indian offers in 2025",Qualitative only,conflicting_and_unsupported_figures,major,MOE matriculation intake statistics disaggregated by ethnicity,"Verify; in the absence of MOE confirmation, state only the verified 90:10 framework and disclose the dispute",resolved,"Two irreconcilable figures exist for the same quantity (1,116 asserted by an NGO; 1,537 asserted by Doc A) and neither is traced to MOE. The proposal states the verified 90:10 framework, records the dispute, and makes the first deliverable a published disaggregated intake series rather than a seat-count target."
CNF-015,The 6717 figure,"Placed inside Indian-specific passages, inviting the inference that 6,717 are Indian students",Not mentioned,misleading_placement,major,The Star / FMT reports of 8 April 2026,Restate with the population scope explicit,resolved,"Every use now reads 'all 6,717 candidates nationally, across all ethnic groups, who scored 10A or better in SPM 2025'."
CNF-016,The RM300 million 2025 entrepreneur financing package,"Stated as a deployed package of MITRA RM100m + SPUMI RM100m + BRIEF-i RM100m",Not mentioned,unverified_and_internally_inconsistent,moderate,MITRA/TEKUN/Bank Rakyat disbursement records,Verify; exclude from any baseline until confirmed,resolved,"Excluded from the MIB 2.0 existing-funding baseline. Difficult to reconcile with SPUMI's 2026 allocation of RM50 million being described as the highest ever. Verification is item VAL-10."
CNF-017,The RM2 billion dilapidated schools programme,Cited adjacent to SJKT claims implying it is Indian-community funding,Not mentioned,attribution_error,major,MOE breakdown of the dilapidated-schools programme by school type,Establish the SJKT share; until then do not attribute,resolved,"Treated as an existing NATIONAL programme. MIB 2.0 claims no part of it as community funding, and PRG-03's existing-funding assumption is explicitly flagged as provisional pending the MOE breakdown (VAL-11)."
CNF-018,Beneficiary counting,"122,082 MITRA beneficiaries (2024) presented as a headline reach figure",Explicitly criticises counting beneficiaries as a measure of success,measurement_conflict,major,MITRA unique-beneficiary data,Adopt Doc B's position; distinguish reach from unique beneficiaries throughout,resolved,"Doc B's critique is accepted. The KPI framework distinguishes reach (episodes of service) from unique beneficiaries, and the costing model carries both a reach count and a unique-beneficiary count with an explicit overlap treatment (ASM-030)."
CNF-019,Electoral framing,"Explicit: 12 months to the next general election; 'one year earns the mandate, five more finish the job'; Phase 1 engineered for pre-election visibility",Chapters 7 and 8 are entirely political messaging and voter persuasion,fitness_for_purpose,critical,None - this is a document-standard question,Remove all electoral and partisan content from a Cabinet submission,resolved,"All electoral sequencing, mandate language and voter-persuasion content is excluded. Phase 1 is justified on delivery-readiness grounds (measures requiring administrative rather than legislative action are sequenced first), which produces the same sequencing on a defensible basis."
CNF-020,Phase structure,Three two-year phases,"Two phases at Tab 1 (Years 1-2, 3-6); three phases at Tab 10 (1-2, 3-4, 5-6)",internal_contradiction_in_source_B,major,None,Adopt three two-year phases per the locked brief and Doc B's own roadmap chapter,resolved,Three two-year phases adopted throughout.
CNF-021,Civil service trajectory,"4.5% by Year 2, 5.5% by Year 4, 7.0% by Year 6",Qualitative; merit-based; no numbers,undeliverable_target,critical,JPA headcount base and annual intake data,Recompute the required stock change and restate as a defensible range,resolved,"7% by Year 6 would require approximately 43,000 net additional Indian officers - rejected. Adopted target is a range of 4.2%-4.8% by Year 6, with the 7% MIB aspiration explicitly reset as a longer-horizon objective beyond this plan."
CNF-022,Preschool eligible population,"90% of IB40 children aged 4-6; at least 40,000 subsidised places, scaled from the 227,600-household denominator",Qualitative expansion of preschool access,denominator_error,major,DOSM/MOE cohort data for Indian children aged 4-5 by household income,Rebuild the eligible population from cohort size,resolved,"Recalculated eligible cohort is approximately 16,000 children aged 4-5 in low-income Indian households, so 40,000 subsidised places exceeded the population. Target restated as a participation rate rising to 80% of the eligible cohort by Year 6, i.e. approximately 12,800 children per year."
CNF-023,TVET employment-outcome threshold,"At least 70% employed above RM2,672 per month",Employment must follow training; no threshold,obsolete_benchmark,moderate,Current national minimum wage and DOSM median salary,Re-index to a current wage reference,resolved,"RM2,672 (a 2014 B40 mean) is replaced by an indexation rule: employment at or above the prevailing national minimum wage plus 25%, restated annually, with the actual threshold published each year."
CNF-024,Ethnic procurement set-aside,"2% vendor participation share and RM100 million cumulative contract value for Indian-registered SMEs",Explicitly merit- and capability-based; no quota,legal_and_policy_conflict,critical,AGC advice on Article 8; Treasury procurement instructions,Adopt Doc B's position; convert the quota into a capability programme with measured participation,resolved,"The set-aside and participation quota are rejected. PRG-10 delivers vendor certification, consortium formation and bid capability, with participation measured and published but not mandated. AGC clearance is listed as VAL-01."
CNF-025,Extreme poverty target,Zero IB40 households in extreme urban poverty by Year 6,Structured poverty graduation; no absolute target,unmeasurable_absolute_commitment,critical,DOSM poverty definitions and a baseline count,Replace with a measurable reduction target on a defined measure,resolved,"Replaced with: reduce absolute poverty incidence among Indian households from 5.4% (2022 DOSM basis) towards the pre-2019 level of 4.8% or below by Year 6, measured on the DOSM absolute poverty measure, with the target formally reset once the 2024 and 2026 DOSM ethnic breakdowns are available."
CNF-026,Legal status of the task force,"Legal successor to the MIB agenda; apex body over MITRA and PTMI, able to direct line ministries",Deliberately avoids new bureaucracy; ministries retain their responsibilities,legal_overreach,critical,AGC advice; machinery-of-government precedent,Replace with a Cabinet-established coordinating body with defined terms of reference,resolved,"'Legal successor' and directive authority over ministries are removed. The Task Force is established by Cabinet decision as a coordinating, accountability and escalation body; each programme retains its accountable ministry and accounting officer. Doc B's principle that ministries keep their responsibilities is adopted."
CNF-027,Progression Navigator,Not proposed,"A designated Navigator for each participating household, with no volume, cost, staffing or owner",undefined_scope,major,Caseload benchmarks from comparable case-management programmes,Define caseload and cap coverage to a costed volume,resolved,"Adopted at 150 households per navigator, scaling to approximately 400 navigators and roughly 60,000 households cumulatively over six years. 'Each participating household' is defined as households enrolled in the Household Progression Programme, not all Indian households."
CNF-028,Temple and community asset audit,Not proposed,"A national audit of temples and community assets covering land tenure, heritage and compliance",jurisdictional_conflict,major,"Federal-state division of powers on land, local government and religious administration; Hindu-only scope conflicts with a Malaysian Indian blueprint","Narrow the scope, redesign it as multi-faith and deliver through state and institution-specific partnerships",resolved,"Redesigned as a religion-neutral programme open to faith-based and community institutions serving Malaysian Indian communities, expressly including Hindu temples, mosques and surau serving Indian Muslim communities, churches, Sikh gurdwaras, Baha'i facilities and other eligible institutions. A common safety, accessibility and compliance track uses needs-based criteria and state, institutional and any applicable religious-authority consent. A differentiated temple and estate-legacy track documents tenure, relocation and registration cases for state referral rather than federal adjudication. Funding excludes religious practice and is limited to life safety, accessibility, compliance and documented public-interest community-service spaces."
CNF-029,Guarantee language,Not used,"Three absolute guarantees: no child, no youth, no family",commitment_language_risk,major,None,Restate as qualified commitments consistent with Doc B's own Tab 6 caveat,resolved,"Adopted as the narrative spine but restated as pathway commitments with defined, measurable service standards. Doc B's own qualification ('guarantees that Government will ensure a visible pathway exists') is brought forward into the commitment language."
CNF-030,Political messaging content,Chapter 8 is a direct political appeal to the PM,"Tabs 7 and 8, approximately 4,900 words, are messaging, signature statements, speech drafts and voter persuasion",fitness_for_purpose,critical,None,Exclude entirely from the Cabinet submission,resolved,Excluded. The proposal notes only that a public communications plan will be prepared separately under normal government protocols and is not part of this submission.
CNF-031,Blueprint versus engine,"The community does not need a new blueprint, only an execution engine",Not another blueprint; a progression model,conflict_with_locked_brief,major,None,Resolve in favour of the locked brief,resolved,"MIB 2.0 is presented as a six-year national blueprint whose distinguishing feature is that it is delivery-instrumented. The substance of both drafts' argument (design was never the binding constraint) is preserved as the diagnosis."
CNF-032,Registry design,"Documentation registry matures into the IB40 master database, every household named, located, income-assessed",One family profile; one household progression record,data_protection_and_discrimination_risk,critical,Data-governance and privacy assessment,Separate the registries; require a privacy impact assessment,resolved,"The citizenship/documentation caseload system and the household progression record are kept as separate systems with no automatic linkage. Enrolment in the progression record is voluntary and consent-based. A Data Protection Impact Assessment is a Phase 1 gating deliverable (PRG-16)."
CNF-033,Duplication with existing national programmes,"Asserts 'nothing in this proposal competes with an existing initiative' without testing it",Asserts it organises rather than replaces existing programmes,unverified_duplication_claim,major,Programme-level mapping against national schemes,Conduct an explicit duplication test for every retained programme,resolved,"Every retained programme carries a duplication assessment in PROGRAMME_REGISTER.csv. Four proposed measures were merged or removed as duplicative, and the proposal states which national programmes each measure runs on rather than beside."
CNF-034,Beneficiary double counting across programmes,Not addressed,Not addressed,double_counting_risk,major,Programme participation data,Model reach and unique beneficiaries separately,resolved,"The costing model records reach by programme and a portfolio unique-beneficiary estimate with a stated overlap factor (ASM-030). The proposal never sums reach figures across programmes."
