source_id,title,issuing_institution,publication_date,location_in_source,url,access_date,geographic_scope,population_scope,definition_used,tier,limitations,supports_directly_or_inference
SRC-011,Malaysian Indian Community Intervention Plan for MITRA,PEMANDU Associates,2024,Engagement description page,https://pemandu.org/insight/malaysian-indian-community-intervention-plan-for-unit-transformasi-masyarakat-india-malaysia-mitra/,2026-08-05,Malaysia,MITRA and PTMI,Strategic direction (Hala Tuju) engagement for MITRA,5,PEMANDU's own page confirms the engagement but does NOT publish the '7 of 23 PTMI reforms' finding; that figure is traceable only to a secondary academic paper — see CLM-021 and CNF-011,Inference only
SRC-012,Beyond Tokenism: Why MITRA Cannot Substitute for Comprehensive National Reform,Academic working paper (ResearchGate deposit),2025,Discussion of PEMANDU MITRA evaluation,https://www.researchgate.net/publication/398561089_Beyond_Tokenism_Why_MITRA_Cannot_Substitute_for_Comprehensive_National_Reform-A_Call_for_Structural_Inclusion_of_Malaysian_Indians,2026-08-05,Malaysia,MITRA / PTMI,Secondary characterisation of the PEMANDU finding,5,"Secondary source; not peer-reviewed government evaluation; the underlying PEMANDU report is not public. The '7 of 23' figure must be attributed to this secondary source, not to PEMANDU directly",Inference only
SRC-013,Pelan Tindakan Masyarakat India Malaysia (PTMI) portal,MITRA / Ministry of National Unity,2024,MITRA official portal and PTMI document,https://www.mitra.gov.my/en/,2026-08-05,Malaysia,Malaysian Indian community,Official MITRA mandate and programme categories,2,Programme-level expenditure and beneficiary outturns not extracted at source in this exercise — validation item,Direct
SRC-014,Federal Constitution of Malaysia — Articles 8 and 153,Government of Malaysia,1957 (as amended),"Article 8 (equality before the law and non-discrimination); Article 153 (special position of the Malays and natives, and legitimate interests of other communities)",https://www.jac.gov.my/spk/images/stories/10_akta/perlembagaan_persekutuan/federal_constitution.pdf,2026-08-05,Malaysia,All persons,Constitutional constraint on ethnically-defined public benefits and quotas,1,"Not independently re-fetched during this exercise; relied upon as settled constitutional text. Legal characterisation in this proposal is policy analysis, not legal advice, and requires AGC clearance — see VAL-01",Direct
SRC-015,MADANI Indian Progression Guarantees (source draft 2),Author-supplied source document,2026,"inputs/MIB_2.0_V2.docx, Tabs 1-10",local://inputs/MIB_2.0_V2.docx,2026-08-05,Malaysia,Malaysian Indian community,Source policy draft,8,"Contains no statistics, baselines, targets, costs or citations; narrative and messaging document only",Direct
SRC-016,A 6-Year Plan of Action for the Socio-Economic Educational and Political Upliftment of the Malaysian Indian Community (source draft 1),Author-supplied source document,2026,"inputs/Malaysian_Indian_6Year_Action_Plan.docx, Chapters 1-8 and Appendices A-B",local://inputs/Malaysian_Indian_6Year_Action_Plan.docx,2026-08-05,Malaysia,Malaysian Indian community,Source policy draft,8,"Citations are inline parentheticals with no URL, page or table reference; several figures could not be located in the primary sources named",Direct
SRC-017,"Minimum Wages Order 2024 (RM1,700 national monthly minimum wage)",Government of Malaysia / National Wages Consultative Council,2024 (in force 1 February 2025; small-employer exemption ended August 2025),"Gazetted order; rate applies uniformly to all states including Sabah, Sarawak and Labuan",https://www.mohr.gov.my/,2026-08-05,Malaysia,All private-sector employees including foreign workers,"Basic monthly wage floor, excluding allowances, bonuses, commissions and overtime",1,Applies to the private sector; it is not a public-sector pay reference. Verified through multiple secondary compliance publications rather than by retrieving the gazette itself - the gazette should be cited directly in a formal submission.,Direct
SRC-018,Sistem Saraan Perkhidmatan Awam (SSPA) salary schedules - Pekeliling Perkhidmatan Bilangan 1 Tahun 2024,Public Service Department (JPA),2024 (Phase 1 effective 1 December 2024; Phase 2 January 2026),"Lampiran D salary schedules; SSPA Gred 9 (formerly Grade 41/42) basic salary range approximately RM2,250-RM11,110",https://docs.jpa.gov.my/docs/sspa/PP_SSPA_INDUK_COMBINED.pdf,2026-08-05,Malaysia,Federal public service officers,"BASIC salary only. Excludes fixed allowances, employer pension/EPF contribution and departmental overheads",1,"Provides basic salary only. The LOADING FACTOR applied in this costing to convert basic salary into a fully loaded employment cost is an assumption, not a sourced figure - see ASM-050.",Direct
SRC-019,Federal Constitution of Malaysia — current legislation portal,Attorney-General's Chambers of Malaysia,Current online consolidation accessed 2026-08-10,"Articles 3, 8, 11, 12, 14-16, 19, 74, 80, 97-104, 136, 139, 144 and 153; Ninth Schedule",https://lom.agc.gov.my/federal-constitution.php,2026-08-10,Malaysia,All persons and public authorities,"Constitutional allocation of powers, equality, religion, education, citizenship, finance and public-service functions",1,"The portal is authoritative, but the legal application of each provision to the proposed instruments remains for AGC; this register records issues, not opinions or clearance",Direct
SRC-020,Citizenship services and constitutional application pathways,National Registration Department / Ministry of Home Affairs,Current portal updated 2026-08-06,"Applications under Articles 14, 15(1), 15(2), 15A, 16, 19 and 23",https://www.jpn.gov.my/en/services/citizenship/,2026-08-10,Malaysia,Citizenship applicants,"Published administrative pathways for citizenship status, registration, naturalisation and renunciation",1,"Confirms the responsible administrative routes but not the permissible MIB 2.0 service commitments, disclosure duties, decision reasons or review standards; AGC and KDN/JPN clearance required",Direct
SRC-021,Personal Data Protection Act 2010 [Act 709] and 2024 amendment materials,Personal Data Protection Commissioner / Government of Malaysia,2010 as amended in 2024,"Act 709, section 3 application boundary; current Act and amendment pages",https://www.pdp.gov.my/ppdpv1/en/akta/pdp-act-2010-en/,2026-08-10,Malaysia,Data subjects and controllers or processors within the Act,"Regulation of personal data processing in commercial transactions; section 3(1) excludes Federal and State Governments",1,"Government exclusion does not establish the positive public-sector governance regime; private contractors and partners may still be within Act 709. Agency-specific and public-sector controls require separate identification",Direct
SRC-022,Financial Procedure Act 1957 [Act 61],Ministry of Finance / Government of Malaysia,1957 as amended,"Sections 4, 6, 13, 15, 15A and 36; official reprint",https://www.mof.gov.my/portal/pdf/bahagian/gic/Akta_Tatacara_Kewangan_1957.pdf,2026-08-10,Malaysia,Federal and State public finances,"Control and management of public money, accounting officers, estimates, virement, controlling officers and financial instructions",1,"Does not by itself identify the correct vote, appropriation, grant instrument, procurement method or current delegated threshold for any programme",Direct
SRC-023,Government Procurement Act 2026 [Act 882] — principal Act listing,Attorney-General's Chambers of Malaysia,2026,"AGC Laws of Malaysia portal principal-Act listing",https://lom.agc.gov.my/index.php,2026-08-10,Malaysia,Government procurement bodies and transactions within the Act,"New statutory procurement framework listed by AGC as Act 882",1,"The portal confirms the Act's existence. The applicable commencement, subsidiary, savings and transitional instruments were not established in this exercise and must be confirmed by MOF and AGC before any procurement design relies on the Act",Direct
SRC-024,Treasury Circular Portal and current circular directory,Ministry of Finance / Treasury,Current portal accessed 2026-08-10,"Current Treasury instructions, circulars and procurement topics",https://ppp.treasury.gov.my/,2026-08-10,Malaysia,Federal public bodies and other bodies within individual instruments,"Current administrative financial and procurement instructions",1,"The applicable instrument and version must be identified transaction by transaction; the portal is not a substitute for a certified procurement-law schedule",Direct
SRC-025,National Land Code 1965 [Act 56] — official overview and legislation access,Department of Director General of Lands and Mines (Federal),1965 as amended,"Official National Land Code page; Peninsular Malaysia scope",https://www.jkptg.gov.my/en/panduan/senarai-undang-undang/kanun-tanah-negara,2026-08-10,Peninsular Malaysia,Land authorities and persons dealing with land,"Land administration framework in Peninsular Malaysia and State Authority decision context",1,"Does not apply in Sabah and Sarawak; programme-level title, tenure, consent and referral powers must be checked against each state's law and facts",Direct
SRC-026,Local Government Act 1976 [Act 171] — official legislation copy,Ministry of Housing and Local Government,1976 as amended,"Official Act 171 publication",https://www.kpkt.gov.my/index.php/dl/64584e6c636c38784c303146546b6446546b464a49457451533151765155745551533942613352684d546378655445354e7a5a69625335775a47593d,2026-08-10,Malaysia subject to adoption and territorial application,Local authorities and persons within the Act,"Local-authority framework relevant to licensing, building and local administration",1,"State adoption, territorial application, local by-laws and the distinct Sabah and Sarawak regimes require state-by-state confirmation",Direct
SRC-027,Public Service Commission constitutional functions,Public Service Commission Malaysia,Current portal accessed 2026-08-10,"Federal Constitution Article 144(1); appointment, confirmation, pensionable status, promotion, transfer and discipline functions",https://www.spa.gov.my/index.php/info-korporat/latar-belakang,2026-08-10,Malaysia,Public services within SPA jurisdiction,"Constitutional functions and institutional responsibility of SPA",1,"Does not determine the legality of the proposed outreach, preparation or disaggregated reporting; AGC, SPA and JPA must define the non-interference boundary",Direct
SRC-028,Data Protection Impact Assessment Guideline 2026,Personal Data Protection Commissioner,2026,"Official DPIA guideline",https://www.pdp.gov.my/ppdpv1/wp-content/uploads/2026/04/Data-Protection-Impact-Assessment-Guideline-DPIA.pdf,2026-08-10,Malaysia,Data controllers and processors within Act 709,"Current risk-assessment framework for high-risk personal-data processing",1,"Act 709 excludes Federal and State Governments, so the guideline is not treated as a complete or automatically binding public-sector regime; it is relevant where private controllers or processors participate and as a design benchmark only",Direct
