cost_line_id,programme_id,programme_name,pillar,lead_ministry,cost_category,price_base_year,scenario,years_1_2,years_3_4,years_5_6,six_year_total,existing_funding,reallocated_funding,new_funding,cost_method,assumption_ids,confidence,cost_source_id,funding_split_basis,reach_count,reach_unit,overlap_group,phases_active,notes
CL-011,PRG-04,Multi-Faith Community Institution Safety and Compliance Programme,P1 Foundations,Ministry of National Unity,development_expenditure,2026,central,16.400,14.000,14.000,44.400,4.440,15.540,24.420,Multi-faith facility model: (institutions audited x audit cost) + (priority institutions x matched safety works) + compliance and temple or estate-legacy referral advisory,ASM-C04,Provisional,,"existing 0.10 = local-authority safety-inspection capacity already funded; reallocated 0.35 = provisional MITRA community-institution grant capacity; new 0.55 = the federal share of matched safety works plus audit. All shares require MOF, state and agency validation. The RM44.400m envelope is a planning cap pending the multi-faith facility map, not a coverage commitment (VAL-13).",1200,facility,institutional,1-2-3,"Current envelope only: audit up to 1,200 institutions x RM12k = RM14.400m; safety works at approximately 400 priority institutions x RM120k x 50% federal share = RM24.000m; compliance and temple or estate-legacy referral advisory = RM6.000m; total RM44.400m. The expanded multi-faith definition does "
CL-012,PRG-04,Multi-Faith Community Institution Safety and Compliance Programme,P1 Foundations,Ministry of National Unity,development_expenditure,2026,expanded,20.336,17.360,17.360,55.056,5.506,19.269,30.281,Multi-faith facility model: (institutions audited x audit cost) + (priority institutions x matched safety works) + compliance and temple or estate-legacy referral advisory,ASM-C04,Provisional,,"existing 0.10 = local-authority safety-inspection capacity already funded; reallocated 0.35 = provisional MITRA community-institution grant capacity; new 0.55 = the federal share of matched safety works plus audit. All shares require MOF, state and agency validation. The RM44.400m envelope is a planning cap pending the multi-faith facility map, not a coverage commitment (VAL-13).",1200,facility,institutional,1-2-3,"Current envelope only: audit up to 1,200 institutions x RM12k = RM14.400m; safety works at approximately 400 priority institutions x RM120k x 50% federal share = RM24.000m; compliance and temple or estate-legacy referral advisory = RM6.000m; total RM44.400m. The expanded multi-faith definition does "
CL-013,PRG-05,School-to-Pathway Guidance and Placement Support,P2 Progression,Ministry of Education,operating_expenditure,2026,conservative,8.575,4.200,4.200,16.975,6.790,1.698,8.487,"Per-student service model: cohort x unit cost x years, plus one-off platform",ASM-C05,Provisional,,"existing 0.40 = school counselling and career-guidance posts already established in MOE; reallocated 0.10 = MITRA education grants; new 0.50 = incremental profiling, clinics and the platform. ASSUMPTION pending MOE confirmation (VAL-14).",120000,student,individual,1-2-3,"Cohort size derived from the Indian share of the national SPM cohort and is PROVISIONAL. NOTE, flagged by independent critique: this figure (approximately 20,000 per year) coincides with the annual birth-cohort figure at ASM-008. They are NOT the same population - an SPM cohort is drawn from births "
CL-014,PRG-05,School-to-Pathway Guidance and Placement Support,P2 Progression,Ministry of Education,operating_expenditure,2026,central,9.800,4.800,4.800,19.400,7.760,1.940,9.700,"Per-student service model: cohort x unit cost x years, plus one-off platform",ASM-C05,Provisional,,"existing 0.40 = school counselling and career-guidance posts already established in MOE; reallocated 0.10 = MITRA education grants; new 0.50 = incremental profiling, clinics and the platform. ASSUMPTION pending MOE confirmation (VAL-14).",120000,student,individual,1-2-3,"Cohort size derived from the Indian share of the national SPM cohort and is PROVISIONAL. NOTE, flagged by independent critique: this figure (approximately 20,000 per year) coincides with the annual birth-cohort figure at ASM-008. They are NOT the same population - an SPM cohort is drawn from births "
CL-015,PRG-05,School-to-Pathway Guidance and Placement Support,P2 Progression,Ministry of Education,operating_expenditure,2026,expanded,11.270,5.520,5.520,22.310,8.924,2.231,11.155,"Per-student service model: cohort x unit cost x years, plus one-off platform",ASM-C05,Provisional,,"existing 0.40 = school counselling and career-guidance posts already established in MOE; reallocated 0.10 = MITRA education grants; new 0.50 = incremental profiling, clinics and the platform. ASSUMPTION pending MOE confirmation (VAL-14).",120000,student,individual,1-2-3,"Cohort size derived from the Indian share of the national SPM cohort and is PROVISIONAL. NOTE, flagged by independent critique: this figure (approximately 20,000 per year) coincides with the annual birth-cohort figure at ASM-008. They are NOT the same population - an SPM cohort is drawn from births "
CL-016,PRG-06,TVET and STEM Progression Pipeline,P2 Progression,Ministry of Human Resources,operating_expenditure,2026,conservative,34.875,69.750,104.625,209.250,94.163,31.387,83.700,Programme cost = enrolees x (stipend + programme support) + apprenticeship incentives,ASM-C06,Benchmarked,SRC-017,"existing 0.45 = accredited TVET seat funding and HRD Corp employer levy already committed; reallocated 0.15 = MITRA skills grants; new 0.40 = stipends and apprenticeship incentives, which no existing instrument funds. ASSUMPTION pending MOHR and HRD Corp confirmation (VAL-15).",30000,youth,individual,1-2-3,"Training seats themselves run on existing accredited TVET capacity and are counted in existing_share. Phase 1: 5,000 x 8,500 = RM42.5m + RM4.0m apprenticeships. Phase 2: 10,000 x 8,500 = RM85m + RM8m. Phase 3: 15,000 x 8,500 = RM127.5m + RM12m."
CL-017,PRG-06,TVET and STEM Progression Pipeline,P2 Progression,Ministry of Human Resources,operating_expenditure,2026,central,46.500,93.000,139.500,279.000,125.550,41.850,111.600,Programme cost = enrolees x (stipend + programme support) + apprenticeship incentives,ASM-C06,Benchmarked,SRC-017,"existing 0.45 = accredited TVET seat funding and HRD Corp employer levy already committed; reallocated 0.15 = MITRA skills grants; new 0.40 = stipends and apprenticeship incentives, which no existing instrument funds. ASSUMPTION pending MOHR and HRD Corp confirmation (VAL-15).",30000,youth,individual,1-2-3,"Training seats themselves run on existing accredited TVET capacity and are counted in existing_share. Phase 1: 5,000 x 8,500 = RM42.5m + RM4.0m apprenticeships. Phase 2: 10,000 x 8,500 = RM85m + RM8m. Phase 3: 15,000 x 8,500 = RM127.5m + RM12m."
CL-018,PRG-06,TVET and STEM Progression Pipeline,P2 Progression,Ministry of Human Resources,operating_expenditure,2026,expanded,60.450,120.900,181.350,362.700,163.215,54.405,145.080,Programme cost = enrolees x (stipend + programme support) + apprenticeship incentives,ASM-C06,Benchmarked,SRC-017,"existing 0.45 = accredited TVET seat funding and HRD Corp employer levy already committed; reallocated 0.15 = MITRA skills grants; new 0.40 = stipends and apprenticeship incentives, which no existing instrument funds. ASSUMPTION pending MOHR and HRD Corp confirmation (VAL-15).",30000,youth,individual,1-2-3,"Training seats themselves run on existing accredited TVET capacity and are counted in existing_share. Phase 1: 5,000 x 8,500 = RM42.5m + RM4.0m apprenticeships. Phase 2: 10,000 x 8,500 = RM85m + RM8m. Phase 3: 15,000 x 8,500 = RM127.5m + RM12m."
CL-019,PRG-07,Tertiary Access Navigation and Transparency,P2 Progression,Ministry of Education,operating_expenditure,2026,conservative,5.250,5.250,5.250,15.750,7.875,1.575,6.300,Service and publication model: navigation support plus annual data publication,ASM-C07,Provisional,,existing 0.50 = MOE and MOHE admissions administration already funded; reallocated 0.10 = MITRA education grants; new 0.40 = navigation support and the published data series. ASSUMPTION (VAL-05).,60000,applicant,individual,1-2-3,"RM250 per supported applicant for approximately 20,000 applicants per phase = RM5.000m, plus RM1.000m per phase for data publication and review = RM6.000m per phase, RM18.000m over three phases. No additional matriculation seats are requested and none are costed."
CL-020,PRG-07,Tertiary Access Navigation and Transparency,P2 Progression,Ministry of Education,operating_expenditure,2026,central,6.000,6.000,6.000,18.000,9.000,1.800,7.200,Service and publication model: navigation support plus annual data publication,ASM-C07,Provisional,,existing 0.50 = MOE and MOHE admissions administration already funded; reallocated 0.10 = MITRA education grants; new 0.40 = navigation support and the published data series. ASSUMPTION (VAL-05).,60000,applicant,individual,1-2-3,"RM250 per supported applicant for approximately 20,000 applicants per phase = RM5.000m, plus RM1.000m per phase for data publication and review = RM6.000m per phase, RM18.000m over three phases. No additional matriculation seats are requested and none are costed."
CL-021,PRG-07,Tertiary Access Navigation and Transparency,P2 Progression,Ministry of Education,operating_expenditure,2026,expanded,6.900,6.900,6.900,20.700,10.350,2.070,8.280,Service and publication model: navigation support plus annual data publication,ASM-C07,Provisional,,existing 0.50 = MOE and MOHE admissions administration already funded; reallocated 0.10 = MITRA education grants; new 0.40 = navigation support and the published data series. ASSUMPTION (VAL-05).,60000,applicant,individual,1-2-3,"RM250 per supported applicant for approximately 20,000 applicants per phase = RM5.000m, plus RM1.000m per phase for data publication and review = RM6.000m per phase, RM18.000m over three phases. No additional matriculation seats are requested and none are costed."
CL-022,PRG-08,Professional Entry and Mentoring,P2 Progression,Ministry of Higher Education,operating_expenditure,2026,conservative,0.000,3.300,3.300,6.600,1.980,1.320,3.300,Mentoring and placement network model,ASM-C08,Provisional,,existing 0.30 = university career-services capacity already funded; reallocated 0.20 = MITRA human-capital grants; new 0.50 = mentoring network coordination. ASSUMPTION (VAL-16).,5000,graduate,individual,2-3,"RM800 per mentored graduate for approximately 2,500 graduates per phase = RM2.000m, plus RM2.000m per phase network coordination and placement brokerage = RM4.000m per phase across Phases 2-3. Unit cost is a planning assumption; no comparable Malaysian programme cost was located."
CL-023,PRG-08,Professional Entry and Mentoring,P2 Progression,Ministry of Higher Education,operating_expenditure,2026,central,0.000,4.000,4.000,8.000,2.400,1.600,4.000,Mentoring and placement network model,ASM-C08,Provisional,,existing 0.30 = university career-services capacity already funded; reallocated 0.20 = MITRA human-capital grants; new 0.50 = mentoring network coordination. ASSUMPTION (VAL-16).,5000,graduate,individual,2-3,"RM800 per mentored graduate for approximately 2,500 graduates per phase = RM2.000m, plus RM2.000m per phase network coordination and placement brokerage = RM4.000m per phase across Phases 2-3. Unit cost is a planning assumption; no comparable Malaysian programme cost was located."
CL-024,PRG-08,Professional Entry and Mentoring,P2 Progression,Ministry of Higher Education,operating_expenditure,2026,expanded,0.000,4.840,4.840,9.680,2.904,1.936,4.840,Mentoring and placement network model,ASM-C08,Provisional,,existing 0.30 = university career-services capacity already funded; reallocated 0.20 = MITRA human-capital grants; new 0.50 = mentoring network coordination. ASSUMPTION (VAL-16).,5000,graduate,individual,2-3,"RM800 per mentored graduate for approximately 2,500 graduates per phase = RM2.000m, plus RM2.000m per phase network coordination and placement brokerage = RM4.000m per phase across Phases 2-3. Unit cost is a planning assumption; no comparable Malaysian programme cost was located."
CL-025,PRG-09,Household Progression Programme,P3 Livelihoods,Prime Minister's Department,operating_expenditure,2026,conservative,21.960,33.240,44.700,99.900,9.990,39.960,49.950,"Case-management model: (households / caseload per navigator) x loaded navigator cost x years, plus one-off case system",ASM-C09,Benchmarked,SRC-018,"existing 0.10 = Department of Social Welfare case-work capacity already funded; reallocated 0.40 = MITRA welfare grant lines redirected from episodic aid to case management, the single largest reallocation in the portfolio; new 0.50 = the navigator cadre and case system. ASSUMPTION pending MOF and MITRA confirmation (VAL-28).",60000,household,household,1-2-3,Caseload of 150 benchmarked to intensive case-management practice. Phase 1: 120 x 72k x 2 = RM17.28m + RM12m system. Phase 2: 280 x 72k x 2 = RM40.32m + RM4m. Phase 3: 400 x 72k x 2 = RM57.6m + RM2m. Coverage is deliberately capped and is NOT universal.
CL-026,PRG-09,Household Progression Programme,P3 Livelihoods,Prime Minister's Department,operating_expenditure,2026,central,29.280,44.320,59.600,133.200,13.320,53.280,66.600,"Case-management model: (households / caseload per navigator) x loaded navigator cost x years, plus one-off case system",ASM-C09,Benchmarked,SRC-018,"existing 0.10 = Department of Social Welfare case-work capacity already funded; reallocated 0.40 = MITRA welfare grant lines redirected from episodic aid to case management, the single largest reallocation in the portfolio; new 0.50 = the navigator cadre and case system. ASSUMPTION pending MOF and MITRA confirmation (VAL-28).",60000,household,household,1-2-3,Caseload of 150 benchmarked to intensive case-management practice. Phase 1: 120 x 72k x 2 = RM17.28m + RM12m system. Phase 2: 280 x 72k x 2 = RM40.32m + RM4m. Phase 3: 400 x 72k x 2 = RM57.6m + RM2m. Coverage is deliberately capped and is NOT universal.
CL-027,PRG-09,Household Progression Programme,P3 Livelihoods,Prime Minister's Department,operating_expenditure,2026,expanded,38.064,57.616,77.480,173.160,17.316,69.264,86.580,"Case-management model: (households / caseload per navigator) x loaded navigator cost x years, plus one-off case system",ASM-C09,Benchmarked,SRC-018,"existing 0.10 = Department of Social Welfare case-work capacity already funded; reallocated 0.40 = MITRA welfare grant lines redirected from episodic aid to case management, the single largest reallocation in the portfolio; new 0.50 = the navigator cadre and case system. ASSUMPTION pending MOF and MITRA confirmation (VAL-28).",60000,household,household,1-2-3,Caseload of 150 benchmarked to intensive case-management practice. Phase 1: 120 x 72k x 2 = RM17.28m + RM12m system. Phase 2: 280 x 72k x 2 = RM40.32m + RM4m. Phase 3: 400 x 72k x 2 = RM57.6m + RM2m. Coverage is deliberately capped and is NOT universal.
CL-028,PRG-10,Microenterprise Growth and Vendor Capability Programme,P3 Livelihoods,Ministry of Entrepreneur and Cooperatives Development,operating_expenditure,2026,conservative,0.000,14.175,14.175,28.350,9.923,7.087,11.340,"Enterprise advisory model: enterprises x advisory cost, plus certification and consortium support",ASM-C10,Provisional,,existing 0.35 = SME Corp and TEKUN advisory capacity already funded; reallocated 0.25 = MITRA entrepreneur grants; new 0.40 = incremental advisory volume and consortium support. NOTE no new financing facility is created. ASSUMPTION (VAL-18).,5000,enterprise,enterprise,2-3,"5,000 enterprises x RM6,000 structured advisory = RM30.000m, plus RM6.000m certification and consortium support = RM36.000m across Phases 2-3. NO new financing facility is created and none is costed - financing continues on existing TEKUN, SPUMI, AIM and BRIEF-i rails."
CL-029,PRG-10,Microenterprise Growth and Vendor Capability Programme,P3 Livelihoods,Ministry of Entrepreneur and Cooperatives Development,operating_expenditure,2026,central,0.000,18.000,18.000,36.000,12.600,9.000,14.400,"Enterprise advisory model: enterprises x advisory cost, plus certification and consortium support",ASM-C10,Provisional,,existing 0.35 = SME Corp and TEKUN advisory capacity already funded; reallocated 0.25 = MITRA entrepreneur grants; new 0.40 = incremental advisory volume and consortium support. NOTE no new financing facility is created. ASSUMPTION (VAL-18).,5000,enterprise,enterprise,2-3,"5,000 enterprises x RM6,000 structured advisory = RM30.000m, plus RM6.000m certification and consortium support = RM36.000m across Phases 2-3. NO new financing facility is created and none is costed - financing continues on existing TEKUN, SPUMI, AIM and BRIEF-i rails."
CL-030,PRG-10,Microenterprise Growth and Vendor Capability Programme,P3 Livelihoods,Ministry of Entrepreneur and Cooperatives Development,operating_expenditure,2026,expanded,0.000,22.590,22.590,45.180,15.813,11.295,18.072,"Enterprise advisory model: enterprises x advisory cost, plus certification and consortium support",ASM-C10,Provisional,,existing 0.35 = SME Corp and TEKUN advisory capacity already funded; reallocated 0.25 = MITRA entrepreneur grants; new 0.40 = incremental advisory volume and consortium support. NOTE no new financing facility is created. ASSUMPTION (VAL-18).,5000,enterprise,enterprise,2-3,"5,000 enterprises x RM6,000 structured advisory = RM30.000m, plus RM6.000m certification and consortium support = RM36.000m across Phases 2-3. NO new financing facility is created and none is costed - financing continues on existing TEKUN, SPUMI, AIM and BRIEF-i rails."
CL-031,PRG-11,Household Savings and Asset Accumulation Scheme,P3 Livelihoods,Ministry of Finance,transfer_grant,2026,conservative,22.500,52.500,75.000,150.000,0.000,30.000,120.000,Matched-savings model: participating households x annual matching cap x years,ASM-C11,Provisional,,"existing 0.00 = no existing instrument reaches this population, so nothing can be netted off; reallocated 0.20 = MITRA savings and welfare grants; new 0.80 = the matching contribution. GATING on VAL-19 (PNB participation is a commercial decision Cabinet cannot direct).",50000,household,household,1-2-3,"Structured on the MIB 2017 design (pp.41 and 112) of a seed fund providing matching booster units in a qualifying unit-trust or savings product. This is a NEW instrument modelled on an MIB design that was never implemented, not the revival of a lapsed scheme. Requires MOF design approval and, if PNB"
CL-032,PRG-11,Household Savings and Asset Accumulation Scheme,P3 Livelihoods,Ministry of Finance,transfer_grant,2026,central,30.000,70.000,100.000,200.000,0.000,40.000,160.000,Matched-savings model: participating households x annual matching cap x years,ASM-C11,Provisional,,"existing 0.00 = no existing instrument reaches this population, so nothing can be netted off; reallocated 0.20 = MITRA savings and welfare grants; new 0.80 = the matching contribution. GATING on VAL-19 (PNB participation is a commercial decision Cabinet cannot direct).",50000,household,household,1-2-3,"Structured on the MIB 2017 design (pp.41 and 112) of a seed fund providing matching booster units in a qualifying unit-trust or savings product. This is a NEW instrument modelled on an MIB design that was never implemented, not the revival of a lapsed scheme. Requires MOF design approval and, if PNB"
CL-033,PRG-11,Household Savings and Asset Accumulation Scheme,P3 Livelihoods,Ministry of Finance,transfer_grant,2026,expanded,39.000,91.000,130.000,260.000,0.000,52.000,208.000,Matched-savings model: participating households x annual matching cap x years,ASM-C11,Provisional,,"existing 0.00 = no existing instrument reaches this population, so nothing can be netted off; reallocated 0.20 = MITRA savings and welfare grants; new 0.80 = the matching contribution. GATING on VAL-19 (PNB participation is a commercial decision Cabinet cannot direct).",50000,household,household,1-2-3,"Structured on the MIB 2017 design (pp.41 and 112) of a seed fund providing matching booster units in a qualifying unit-trust or savings product. This is a NEW instrument modelled on an MIB design that was never implemented, not the revival of a lapsed scheme. Requires MOF design approval and, if PNB"
CL-034,PRG-12,Housing Access and Estate Legacy Resolution,P3 Livelihoods,Ministry of Housing and Local Government,development_expenditure,2026,conservative,11.375,24.375,27.625,63.375,19.013,6.337,38.025,Access-facilitation model: legacy review + (households x deposit and transaction assistance) + targeted site infrastructure,ASM-C12,Provisional,,"existing 0.30 = existing affordable-housing and SJKP programme capacity; reallocated 0.10 = MITRA housing grants; new 0.60 = legacy review, deposit assistance and targeted site works. Housing UNITS are not costed here. ASSUMPTION (VAL-20).",6000,household,household,1-2-3,"Housing units themselves are funded through existing national and state housing programmes and are NOT costed here. The Bestari Jaya unit price of RM45,000 is a single-project figure and is expressly NOT used to derive a national unit cost."
CL-035,PRG-12,Housing Access and Estate Legacy Resolution,P3 Livelihoods,Ministry of Housing and Local Government,development_expenditure,2026,central,14.000,30.000,34.000,78.000,23.400,7.800,46.800,Access-facilitation model: legacy review + (households x deposit and transaction assistance) + targeted site infrastructure,ASM-C12,Provisional,,"existing 0.30 = existing affordable-housing and SJKP programme capacity; reallocated 0.10 = MITRA housing grants; new 0.60 = legacy review, deposit assistance and targeted site works. Housing UNITS are not costed here. ASSUMPTION (VAL-20).",6000,household,household,1-2-3,"Housing units themselves are funded through existing national and state housing programmes and are NOT costed here. The Bestari Jaya unit price of RM45,000 is a single-project figure and is expressly NOT used to derive a national unit cost."
CL-036,PRG-12,Housing Access and Estate Legacy Resolution,P3 Livelihoods,Ministry of Housing and Local Government,development_expenditure,2026,expanded,17.150,36.750,41.650,95.550,28.665,9.555,57.330,Access-facilitation model: legacy review + (households x deposit and transaction assistance) + targeted site infrastructure,ASM-C12,Provisional,,"existing 0.30 = existing affordable-housing and SJKP programme capacity; reallocated 0.10 = MITRA housing grants; new 0.60 = legacy review, deposit assistance and targeted site works. Housing UNITS are not costed here. ASSUMPTION (VAL-20).",6000,household,household,1-2-3,"Housing units themselves are funded through existing national and state housing programmes and are NOT costed here. The Bestari Jaya unit price of RM45,000 is a single-project figure and is expressly NOT used to derive a national unit cost."
CL-037,PRG-13,Public Service Application Pipeline Programme,P4 Institutional Participation,Public Service Department (JPA),operating_expenditure,2026,conservative,5.950,5.950,5.950,17.850,6.248,1.785,9.817,Outreach and preparation model: campaigns + preparation programmes + annual data publication,ASM-C13,Provisional,,"existing 0.35 = JPA and SPA recruitment administration already funded; reallocated 0.10 = MITRA human-capital grants; new 0.55 = outreach campaigns, preparation programmes and publication. ASSUMPTION (VAL-21).",24000,candidate,individual,1-2-3,"RM350 per candidate through preparation programmes for approximately 8,000 candidates per phase = RM2.800m, plus RM4.200m per phase campaign, outreach and annual publication costs = RM7.000m per phase. Design follows the JPA-stated cause: the constraint is application volume, not selection outcomes."
