assumption_id,programme_id,cost_category,price_base_year,cost_method,eligible_population,participation_basis,unit_cost_rm,frequency_or_duration,variable_share,years_1_2_central_rm_m,years_3_4_central_rm_m,years_5_6_central_rm_m,existing_share,reallocated_share,new_share,confidence,recurring_or_one_off,basis_and_benchmark,validation_item,formula_status,formula_derived_total_rm_m,cost_source_id,funding_split_basis,reach_count,reach_unit,overlap_group
ASM-C11,PRG-11,transfer_grant,2026,Matched-savings model: participating households x annual matching cap x years,Low-income Indian households with savings capacity,"15,000 households in Phase 1, 35,000 in Phase 2, 50,000 in Phase 3",1000,"Matching capped at RM1,000 per household per year, with the matching ratio varying by income band",1.00,30.0,70.0,100.0,0.00,0.20,0.80,Provisional,Recurring,"Structured on the MIB 2017 design (pp.41 and 112) of a seed fund providing matching booster units in a qualifying unit-trust or savings product. This is a NEW instrument modelled on an MIB design that was never implemented, not the revival of a lapsed scheme. Requires MOF design approval and, if PNB is the vehicle, PNB's own commercial agreement.",VAL-19,complete,200.000,,"existing 0.00 = no existing instrument reaches this population, so nothing can be netted off; reallocated 0.20 = MITRA savings and welfare grants; new 0.80 = the matching contribution. GATING on VAL-19 (PNB participation is a commercial decision Cabinet cannot direct).",50000,household,household
ASM-C12,PRG-12,development_expenditure,2026,Access-facilitation model: legacy review + (households x deposit and transaction assistance) + targeted site infrastructure,Estate-displaced and low-income Indian households in housing insecurity,"Approximately 6,000 households assisted over six years",5000,"Legacy review RM8m; deposit and transaction assistance RM5,000 per household; targeted site infrastructure RM40m over six years",0.75,14.0,30.0,34.0,0.30,0.10,0.60,Provisional,Mixed one-off and recurring,"Housing units themselves are funded through existing national and state housing programmes and are NOT costed here. The Bestari Jaya unit price of RM45,000 is a single-project figure and is expressly NOT used to derive a national unit cost.",VAL-20,complete,78.000,,"existing 0.30 = existing affordable-housing and SJKP programme capacity; reallocated 0.10 = MITRA housing grants; new 0.60 = legacy review, deposit assistance and targeted site works. Housing UNITS are not costed here. ASSUMPTION (VAL-20).",6000,household,household
ASM-C13,PRG-13,operating_expenditure,2026,Outreach and preparation model: campaigns + preparation programmes + annual data publication,Qualified Indian graduates and school leavers eligible for public service entry,Open participation; no adjustment to entry standards,350,"RM350 per candidate through preparation programmes for approximately 8,000 candidates per phase, plus campaign and publication costs",0.60,7.0,7.0,7.0,0.35,0.10,0.55,Provisional,Recurring,"RM350 per candidate through preparation programmes for approximately 8,000 candidates per phase = RM2.800m, plus RM4.200m per phase campaign, outreach and annual publication costs = RM7.000m per phase. Design follows the JPA-stated cause: the constraint is application volume, not selection outcomes.",VAL-21,complete,21.000,,"existing 0.35 = JPA and SPA recruitment administration already funded; reallocated 0.10 = MITRA human-capital grants; new 0.55 = outreach campaigns, preparation programmes and publication. ASSUMPTION (VAL-21).",24000,candidate,individual
ASM-C14,PRG-14,operating_expenditure,2026,Development-access and monitoring model,Serving Indian officers in the federal civil service,Merit-based selection into existing development programmes,0,"Uses existing INTAN and JPA programmes; MIB 2.0 funds outreach, monitoring and publication only",0.50,0.0,4.0,4.0,0.60,0.05,0.35,Provisional,Recurring,"Almost entirely a transparency and access measure delivered through existing capacity. Requires publication of grade-band composition, which does not currently exist.",VAL-22,partial,,,existing 0.60 = INTAN and JPA development programmes already funded and already open to these officers; reallocated 0.05 = MITRA grants; new 0.35 = outreach and the grade-band publication. ASSUMPTION (VAL-22).,,officer,individual
ASM-C15,PRG-15,administration,2026,Establishment model: secretariat headcount x loaded cost + operating costs,Whole-of-government coordination,n/a,110000,"35 secretariat posts at a loaded RM110k each, plus RM2m per year operating costs",0.30,11.7,11.7,11.7,0.10,0.45,0.45,Benchmarked,Recurring,35 x 110k = RM3.85m per year + RM2m operating = RM5.85m per year = RM11.7m per two-year phase. Benchmarked to comparable delivery units in the Prime Minister's Department.,VAL-23,complete,35.100,SRC-018,existing 0.10 = existing coordination capacity in the Prime Minister's Department; reallocated 0.45 = MITRA administrative budget; new 0.45 = the incremental 35-post secretariat. GATING on VAL-23 (establishment approval).,,n/a,none
ASM-C16,PRG-16,monitoring_evaluation,2026,Evaluation model: baseline survey + dashboard + DPIA + independent evaluations + annual audit and reporting,Programme monitoring and public reporting,n/a,0,Baseline survey RM6m and dashboard RM8m in Phase 1; DPIA RM1m in Phase 1; mid-term evaluation RM4m in Phase 2; final evaluation RM5m in Phase 3; annual audit and reporting RM1.5m per year,0.40,18.0,7.0,8.0,0.10,0.25,0.65,Provisional,Mixed one-off and recurring,"Phase 1: baseline survey RM6.000m + dashboard RM8.000m + DPIA RM1.000m + annual audit/reporting RM1.500m x 2 = RM18.000m. Phase 2: mid-term evaluation RM4.000m + audit/reporting RM3.000m = RM7.000m. Phase 3: final evaluation RM5.000m + audit/reporting RM3.000m = RM8.000m. Total RM33.000m = 2.10% of the central portfolio, below the 3-5% commonly cited for programmes of this type (benchmark itself uncited - see residual limitation).",VAL-24,complete,33.000,,"existing 0.10 = National Audit Department capacity already funded; reallocated 0.25 = MITRA monitoring budget; new 0.65 = baseline survey, dashboard, DPIA and independent evaluations. ASSUMPTION pending DOSM agreement (VAL-24).",,n/a,none
ASM-008,-,derivation,2026,Eligible preschool cohort derivation,"Not applicable - this row documents a derivation, not a cost",n/a,0,n/a,0.00,0.0,0.0,0.0,0.00,0.00,0.00,Provisional,n/a,"SUPERSEDED DERIVATION, CORRECTED AFTER INDEPENDENT CRITIQUE. The earlier derivation implied a crude birth rate of approximately 8.9 per 1,000, which is materially below Malaysia's national rate, and it applied a HOUSEHOLD income share (39% of Indian households in the bottom 40%) to a CHILD cohort - low-income households are typically larger, so that understates the low-income child share. Both errors are acknowledged. The planning figure of approximately 16,000 children aged 4-5 in low-income Indian households is therefore NOT presented as a derivation: it is an unvalidated planning assumption with a plausible range of 15,000 to 30,000, and PRG-02 is scaled at the LOWER end, which understates rather than overstates the requirement. A DOSM/MOE cohort extract by household income (VAL-09) is a GATING validation item: if the true cohort is at the upper end, PRG-02's central cost could approach RM480m rather than RM255.360m. This is the single largest unquantified exposure in the portfolio.",VAL-09,not_applicable,,,"n/a - derivation or rate row, carries no funding",,n/a,none
ASM-020,-,derivation,2026,Civil service target feasibility recalculation,Not applicable - derivation row,n/a,0,n/a,0.00,0.0,0.0,0.0,0.00,0.00,0.00,Benchmarked,n/a,"Base 1,302,429 officers (31 Dec 2024, excluding RMP and MAF). At 3.7% Indian officers number approximately 48,190. At 7.0% they would number 91,170, requiring approximately 42,980 net additional Indian officers, or approximately 7,160 per year for six years. Rejected as undeliverable. At 4.2% the requirement is 6,512 net additions; at 4.8% it is 14,327. The adopted target range is 4.2%-4.8%.",-,not_applicable,,,"n/a - derivation or rate row, carries no funding",,n/a,none
ASM-021,-,derivation,2026,Civil service denominator instability,Not applicable - derivation row,n/a,0,n/a,0.00,0.0,0.0,0.0,0.00,0.00,0.00,Provisional,n/a,"The total civil service headcount will itself change over six years through recruitment freezes, attrition and restructuring. A percentage-share target is therefore reported alongside an absolute headcount target so that the share is not achieved or missed for reasons unrelated to Indian recruitment.",-,not_applicable,,,"n/a - derivation or rate row, carries no funding",,n/a,none
ASM-030,-,derivation,2026,Beneficiary overlap treatment,Not applicable - derivation row,n/a,0,n/a,0.00,0.0,0.0,0.0,0.00,0.00,0.00,Provisional,n/a,"Programme reach figures are NOT summed across programmes. A household enrolled in PRG-09 may also participate in PRG-02, PRG-06, PRG-11 and PRG-12. A portfolio overlap factor of 0.45 is assumed for household-level programmes (PRG-09, PRG-11, PRG-12), so unique household reach is estimated at approximately 55% of the summed household counts. This factor is provisional and must be replaced by observed data once the household progression record is operating.",VAL-25,not_applicable,,,"n/a - derivation or rate row, carries no funding",,n/a,none
ASM-040,-,rate,2026,Administration overhead rate,Applied to programme delivery cost,n/a,0,n/a,0.00,0.0,0.0,0.0,0.00,0.25,0.75,Provisional,Recurring,"4.0% of programme delivery cost, covering financial administration, procurement and compliance at delivering agencies. Excludes the delivery secretariat, which is costed separately at PRG-15.",-,not_applicable,,,"Applied at portfolio level; funded 25% by reallocation and 75% new, consistent with the weighted average of the programme lines it overheads. ASSUMPTION.",,n/a,none
ASM-041,-,rate,2026,Contingency rate,Applied to delivery plus administration,n/a,0,n/a,0.00,0.0,0.0,0.0,0.00,0.25,0.75,Provisional,n/a,7.5% of delivery plus administration. Set at the lower end of the 5-15% range because the portfolio is weighted towards recurrent service delivery rather than construction. A higher rate would be appropriate if PRG-03 and PRG-12 capital scopes expand.,-,not_applicable,,,"Applied at portfolio level; funded 25% by reallocation and 75% new, consistent with the weighted average of the programme lines it overheads. ASSUMPTION.",,n/a,none
ASM-042,-,rate,2026,Scenario multipliers,Applied to the variable component of delivery cost,n/a,0,n/a,0.00,0.0,0.0,0.0,0.00,0.00,0.00,Benchmarked,n/a,"Conservative = fixed + 0.75 x variable. Central = fixed + 1.00 x variable. Expanded = fixed + 1.30 x variable. Fixed components (systems, audits, secretariat, evaluations) do not scale with participation. Scenarios express participation and unit-cost uncertainty on the SAME programme definitions - they are sensitivity cases, not alternative blueprints.",-,not_applicable,,,"n/a - derivation or rate row, carries no funding",,n/a,none
ASM-043,-,rate,2026,Price basis,Applies to the whole model,n/a,0,n/a,0.00,0.0,0.0,0.0,0.00,0.00,0.00,Benchmarked,n/a,All figures are 2026 NOMINAL ringgit with a 2026 price base year. No inflation escalation is applied across the six years. This UNDERSTATES the nominal cash requirement in Years 3-6; at 2.5% annual inflation the Year 5-6 cash requirement would be approximately 10-13% higher than stated. This is disclosed as a limitation and is a Treasury validation item.,VAL-26,not_applicable,,,"n/a - derivation or rate row, carries no funding",,n/a,none
ASM-050,-,derivation,2026,Salary loading factor,Not applicable - derivation row,n/a,0,n/a,0.00,0.0,0.0,0.0,0.00,0.00,0.00,Provisional,n/a,"SSPA Gred 9 (formerly Grade 41/42) basic salary runs approximately RM2,250-RM11,110 per month (SRC-018), i.e. roughly RM27,000-RM133,000 per year BASIC. The loaded annual costs used here - RM90,000 for a documentation officer, RM72,000 for a navigator and RM110,000 for a senior secretariat post - assume basic salary plus fixed allowances, employer pension/EPF contribution, and departmental overheads. The LOADING MULTIPLE ITSELF IS NOT SOURCED and is an assumption; only the underlying salary scale is sourced. This is the reason those rows are classed Benchmarked rather than Confirmed.",VAL-29,not_applicable,,SRC-018,n/a - derivation row,,n/a,none
